AUTOMOBILE ASSEMBLER
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Barkat Frisian Agro,28.64,28.78,29.68,28.32,29.18,0.54,"1,800,426"
Big Bird Foods Ltd.,50.57,50.57,51.25,50.11,50.95,0.38,"1,453,047"
Bunnys Limited,33.89,30.52,37.28,30.52,37.28,3.39,"4,521,401"
Clover Pakistan,37.65,37.5,38.1,37.02,37.9,0.25,"101,041"
Colgate Palm,"1,359.70",1359.0,1359.0,1339.99,1352.96,-6.74,"3,724"
Fauji Foods Ltd,15.17,15.25,16.15,15.15,15.92,0.75,"36,664,697"
Frieslandcampina,104.52,106.5,107.24,103.0,103.2,-1.32,"2,423,744"
Gillette Pak,280.30,281.0,308.33,281.0,289.99,9.69,"28,254"
Matco Foods Ltd,37.10,39.0,40.81,39.0,40.81,3.71,"1,479,574"
MithchellsFruit,196.36,197.98,200.0,195.11,197.0,0.64,"43,416"
Murree Brewery,837.00,837.8,848.85,837.25,839.0,2.0,306
National Foods,249.03,245.04,250.0,245.04,247.4,-1.63,"24,093"
Nestle Pakistan,"7,091.78",7091.78,7124.0,6971.01,6989.0,-102.78,351
Quice Food,7.37,7.4,7.75,7.31,7.5,0.13,"1,796,945"
Rafhan Maize,"9,266.85",9300.0,9600.0,9275.0,9600.0,333.15,286
Shezan Inter.,184.07,184.07,193.0,184.07,187.05,2.98,"7,157"
Shield Corp.,275.90,275.0,275.99,265.01,275.99,0.09,525
The Organic Meat,31.67,31.96,31.96,31.0,31.35,-0.32,"538,401"
Treet Corp,19.91,19.95,20.15,19.45,19.49,-0.42,"2,191,939"
Unilever FoodsXD,"22,725.50",23400.0,23400.0,22725.5,22730.25,4.75,53
Unity Foods Ltd,27.12,26.76,27.49,26.76,27.02,-0.1,"167,745"
ZIL Limited,281.47,286.42,286.42,284.47,284.5,3.03,105
FUTURE CONTRACTS
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
AICL-MAYB,45.50,45.5,45.5,45.0,45.0,-0.5,"5,500"
AGHA-JUN,8.22,8.22,8.22,8.22,8.22,,"4,000"
AGHA-MAY,8.06,8.24,9.06,8.21,8.8,0.74,"484,000"
AGP-MAYB,186.23,180.01,180.01,180.01,180.01,-6.22,500
AGL-MAY,56.50,56.0,56.0,54.95,55.25,-1.25,"54,000"
AIRLINK-MAY,160.98,161.0,161.5,157.3,157.97,-3.01,"149,000"
ASL-MAY,11.12,11.3,11.52,11.11,11.24,0.12,"911,000"
AKBL-MAYB,45.56,45.69,46.75,45.5,46.0,0.44,"516,000"
PREMA-MAY,50.01,50.0,50.0,45.56,46.2,-3.81,"4,719,500"
PREMA-JUN,54.00,48.66,48.66,48.6,48.6,-5.4,"6,500"
ATRL-MAY,608.99,616.0,618.0,599.57,603.0,-5.99,"140,500"
AVN-MAY,51.64,52.0,52.0,50.41,50.6,-1.04,"262,000"
BOP-JUN,10.14,10.1,10.1,10.1,10.1,-0.04,"25,000"
BOP-MAYB,10.01,10.09,10.09,9.98,10.01,,"460,000"
BAHL-MAYB,139.98,140.43,140.43,139.5,139.5,-0.48,"2,000"
BML-MAY,3.47,3.42,3.44,3.42,3.44,-0.03,"19,000"
BIPL-MAYB,20.08,20.98,20.98,20.98,20.98,0.9,500
CHCC-MAY,268.40,270.01,270.01,265.0,266.6,-1.8,"18,500"
CPHL-MAY,87.75,88.05,89.7,87.0,87.3,-0.45,"1,022,500"
CNERGY-MAY,7.71,7.7,7.83,7.63,7.78,0.07,"1,029,000"
CSAP-MAYB,121.84,121.5,127.0,121.25,122.64,0.8,"32,500"
DGKC-MAY,147.77,147.75,148.1,145.0,145.49,-2.28,"1,025,000"
DCL-JUN,10.55,0,0,0,0,,"400,000"
DCL-MAY,10.41,10.68,10.68,10.3,10.4,-0.01,"215,500"
DFML-MAY,36.46,36.23,36.6,35.16,35.55,-0.91,"812,000"
EFERT-MAYC,181.50,180.0,181.29,180.0,181.0,-0.5,"11,000"
EPCL-MAY,33.41,34.66,35.0,33.71,34.15,0.74,"420,500"
FCCL-MAY,48.13,48.35,48.4,47.2,47.6,-0.53,"950,000"
FFC-MAYC,370.52,370.52,370.52,366.4,366.4,-4.12,"11,500"
FFL-MAY,15.28,15.44,16.2,15.35,16.0,0.72,"8,574,000"
FABL-MAYC,48.00,48.7,48.7,47.7,47.7,-0.3,"1,000"
FLYNG-MAY,51.09,51.47,51.5,47.2,47.22,-3.87,"1,402,500"
FCEPL-MAYB,104.59,108.0,108.0,103.5,103.7,-0.89,"182,000"
GAL-MAY,474.75,473.1,473.1,450.0,450.8,-23.95,"325,500"
GHNI-MAY,689.75,680.0,684.89,667.5,668.0,-21.75,"167,000"
GHNI-JUN,697.89,677.41,677.41,630.0,630.0,-67.89,"1,000"
GCIL-MAY,19.50,19.5,19.8,19.1,19.55,0.05,"313,500"
GHGL-MAY,33.00,32.15,32.15,32.15,32.15,-0.85,500
GGL-JUN,13.99,14.13,14.4,14.0,14.3,0.31,"31,000"
GGL-MAY,13.83,13.88,14.35,13.73,14.35,0.52,"860,500"
GATM-MAY,22.50,22.38,22.82,22.07,22.64,0.14,"881,500"
HBL-MAYC,158.06,158.5,159.0,157.15,158.5,0.44,"103,000"
HUBC-MAY,141.47,142.0,142.0,140.51,141.25,-0.22,"306,500"
HUMNL-MAY,12.55,12.54,12.55,12.54,12.55,,"3,000"
IMAGE-MAYB,23.15,23.57,24.65,23.5,23.5,0.35,"205,000"
INIL-MAY,154.08,156.9,161.97,156.9,160.99,6.91,"75,500"
ISL-MAY,81.55,83.0,87.6,82.01,84.4,2.85,"271,000"
ILP-MAY,57.00,59.0,59.6,59.0,59.6,2.6,"17,500"
KEL-MAY,4.41,4.4,4.46,4.4,4.46,0.05,"246,500"
KOSM-MAY,5.16,5.2,5.22,5.06,5.1,-0.06,"2,603,000"
LPL-MAY,24.00,23.0,24.0,23.0,23.75,-0.25,"9,500"
LOTCHEM-MAY,20.93,21.1,21.65,20.0,21.5,0.57,"1,040,500"
LUCK-MAYB,343.60,342.0,342.99,337.0,337.05,-6.55,"245,500"
MLCF-MAY,75.11,75.0,75.6,74.0,74.3,-0.81,"1,414,000"
MARI-MAY,644.23,645.0,645.0,620.0,629.0,-15.23,"175,500"
MTL-MAY,583.80,595.0,600.0,590.0,600.0,16.2,"4,000"
MUGHAL-MAY,71.68,73.01,76.5,73.0,74.9,3.22,"207,500"
NBP-MAYB,88.30,88.42,88.48,87.53,87.76,-0.54,"131,500"
NRL-MAY,234.98,236.5,237.79,231.0,232.0,-2.98,"155,500"
NETSOL-MAY,141.04,141.0,141.86,138.82,140.11,-0.93,"403,500"
NML-MAY,109.53,112.01,116.0,111.0,114.2,4.67,"255,000"
OCTOPUS-MAY,54.23,55.99,55.99,54.08,54.38,0.15,"167,000"
OCTOPUS-JUN,55.02,55.0,55.0,55.0,55.0,-0.02,"1,500"
OGDC-MAYB,212.37,214.39,214.4,210.35,211.4,-0.97,"1,404,500"
PSO-MAY,381.46,385.51,392.0,384.7,385.76,4.3,"1,227,000"
PSO-JUN,387.67,372.0,372.0,372.0,372.0,-15.67,500
PTC-MAY,22.84,22.77,23.07,22.2,22.3,-0.54,"314,000"
PACE-MAY,5.40,5.01,5.44,5.01,5.36,-0.04,"215,500"
PAEL-MAY,45.55,45.7,45.89,44.7,44.77,-0.78,"981,500"
PIBTL-MAY,8.73,8.8,8.85,8.71,8.76,0.03,"265,000"
PPL-MAYB,173.18,174.5,178.8,173.5,176.8,3.62,"2,525,000"
PPL-JUNB,175.31,180.0,180.0,178.4,178.4,3.09,"2,500"
PRL-MAY,33.59,33.5,33.85,32.67,32.78,-0.81,"2,218,000"
PAKRI-MAYB,12.69,12.37,12.69,12.1,12.46,-0.23,"167,000"
PABC-MAY,107.50,112.11,112.11,111.5,111.5,4.0,"6,000"
PIAHCLA-MAY,16.92,16.85,16.85,16.5,16.6,-0.32,"495,000"
PIOC-MAY,218.01,215.01,215.01,215.01,215.01,-3.0,500
POWER-MAY,14.87,14.86,14.91,14.65,14.65,-0.22,"442,500"
SAZEW-MAYB,"1,305.97",1295.0,1325.0,1293.0,1310.0,4.03,"158,000"
SAZEW-JUNB,"1,321.86",1324.0,1324.0,1324.0,1324.0,2.14,500
SNBL-MAY,16.54,16.3,16.48,16.3,16.47,-0.07,"4,500"
SNGP-MAYB,120.54,121.99,122.6,120.5,120.8,0.26,"769,000"
SSGC-MAY,35.86,36.0,36.45,35.9,36.0,0.14,"3,327,000"
SYM-MAY,15.32,15.45,15.45,15.1,15.1,-0.22,"219,000"
TELE-MAY,7.50,7.56,7.63,7.41,7.55,0.05,"318,000"
TOMCL-MAY,31.89,31.9,32.0,31.12,31.5,-0.39,"71,000"
SEARL-MAY,86.87,88.72,88.72,86.0,86.88,0.01,"801,000"
TPLP-MAY,8.94,9.0,9.4,8.95,9.18,0.24,"1,842,000"
TREET-MAY,20.05,20.1,20.2,19.52,19.55,-0.5,"839,500"
TREET-JUN,20.25,19.9,19.9,19.9,19.9,-0.35,"4,000"
TRG-MAY,63.83,64.09,64.3,62.9,63.0,-0.83,"563,000"
UBL-MAYB,521.50,517.0,519.0,514.0,515.0,-6.5,"16,000"
UBL-JUNB,527.59,513.0,513.0,513.0,513.0,-14.59,"4,000"
UNITY-MAY,27.13,27.01,27.13,26.89,27.13,,"18,500"
WAVES-MAY,7.56,7.54,7.65,7.49,7.49,-0.07,"240,500"
WAVESAPP-MAY,9.16,9.27,9.35,9.0,9.35,0.19,"165,500"
WTL-MAY,1.25,1.26,1.27,1.25,1.27,0.02,"1,010,000"
YOUW-MAY,4.43,3.8,4.49,3.65,3.65,-0.78,"2,000"
GLASS & CERAMICS
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Bal.Glass,8.95,9.45,9.95,9.4,9.95,1.0,"1,340,087"
Frontier Ceram,35.00,38.5,38.5,37.01,37.01,2.01,"51,209"
Ghani Glass Ltd,32.83,32.75,32.9,31.55,32.15,-0.68,"121,081"
Ghani Value GlassXD,47.26,48.14,48.14,46.8,47.99,0.73,"7,494"
GhaniGlobalGlass,8.34,8.4,8.69,8.4,8.6,0.26,"1,593,995"
Karam Ceramics,49.90,47.9,48.0,45.0,48.0,-1.9,48
Shabbir Tiles,12.47,12.5,12.69,12.3,12.69,0.22,"19,833"
Tariq Glass Ind.XD,207.81,208.0,209.75,202.0,207.0,-0.81,"16,186"
INSURANCE
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Adamjee Ins.,45.32,45.2,46.2,45.2,45.5,0.18,"38,029"
Adamjee Life Ass.,25.15,24.11,25.97,24.11,25.89,0.74,"2,296"
Ask.Gen.Insur.,30.25,32.0,32.0,30.39,30.39,0.14,110
Askari Life Ass,4.70,4.96,4.96,4.7,4.89,0.19,53
Atlas Ins. Ltd,57.59,59.0,59.0,57.01,58.5,0.91,"1,012"
Century Ins.,39.00,37.68,39.5,37.5,39.15,0.15,"2,078"
Cres.Star Ins.,3.02,3.15,3.36,3.0,3.24,0.22,"19,259,404"
East West Insurance,57.29,51.6,53.0,51.6,53.0,-4.29,4
EFU General,120.09,123.95,123.95,117.1,121.0,0.91,"3,140"
EFU Life Assurance,140.99,140.02,143.49,140.02,140.02,-0.97,764
Habib Ins.,7.84,7.81,7.81,7.7,7.71,-0.13,"149,783"
IGI Holdings,164.30,161.15,166.75,161.15,166.69,2.39,213
IGI Life Ins,17.99,18.59,18.99,16.2,17.0,-0.99,"1,970"
Jubile Life Ins,132.40,138.0,138.0,120.55,129.9,-2.5,"4,654"
Jubilee Gen.Ins,50.75,50.15,51.69,50.15,50.55,-0.2,"123,293"
Pak Reinsurance,12.53,12.26,12.69,12.02,12.42,-0.11,"596,216"
PICIC Ins.Ltd.,3.13,3.19,3.39,3.0,3.3,0.17,"754,071"
Premier Ins.,5.85,5.58,5.59,5.52,5.58,-0.27,"1,025"
Reliance Ins.XB,11.00,10.75,10.75,10.31,10.36,-0.64,"3,004"
Shaheen Ins.XB,5.23,5.15,5.2,5.15,5.16,-0.07,"12,730"
TPL Insurance,8.40,8.7,8.7,8.5,8.5,0.1,"1,986"
TPL Life Insurance,48.72,48.0,52.9,48.0,52.9,4.18,748
United InsuranceXB,17.32,17.48,17.48,17.11,17.3,-0.02,"16,715"
